,Ano,Mes,Tmax_conv,Mes_deslocado
157,1974,02,0.8566328571428572,1
158,1974,03,0.7550116129032258,2
159,1974,04,0.7068773333333334,3
160,1974,05,0.6142593548387097,4
161,1974,06,0.4838253333333333,5
162,1974,07,0.6171058064516128,6
163,1974,08,0.6132645161290322,7
164,1974,09,0.7316533333333333,8
165,1974,10,0.6770722580645162,9
166,1974,11,0.7754506666666665,10
167,1974,12,0.6987290322580646,11
168,1975,01,0.804556129032258,0
169,1975,02,0.8197228571428572,1
170,1975,03,0.835589677419355,2
171,1975,04,0.72848,3
172,1975,05,0.5784129032258063,4
173,1975,06,0.5590746666666668,5
174,1975,07,0.5109019354838709,6
175,1975,08,0.7590064516129034,7
176,1975,09,0.7483759999999999,8
177,1975,10,0.7057277419354839,9
178,1975,11,0.7270933333333331,10
179,1975,12,0.8032167741935485,11
180,1976,01,0.816029677419355,0
181,1976,02,0.7782731034482759,1
182,1976,03,0.8150361290322581,2
183,1976,04,0.696188,3
184,1976,05,0.5625432258064517,4
185,1976,06,0.504176,5
186,1976,07,0.5195677419354838,6
187,1976,08,0.5906012903225806,7
188,1976,09,0.5613653333333333,8
189,1976,10,0.7230787096774194,9
190,1976,11,0.8079453333333333,10
191,1976,12,0.7891341935483873,11
192,1977,01,0.7914206451612902,0
193,1977,02,0.9229085714285716,1
194,1977,03,0.9038180645161291,2
195,1977,04,0.7016906666666665,3
196,1977,05,0.6759664516129033,4
197,1977,06,0.5678173333333332,5
198,1977,07,0.7012503225806452,6
199,1977,08,0.7013032258064515,7
200,1977,09,0.7043386666666667,8
201,1977,10,0.7776116129032258,9
202,1977,11,0.7286640000000002,10
203,1977,12,0.7146709677419356,11
204,1978,01,0.8260490322580645,0
205,1978,02,0.8932885714285714,1
206,1978,03,0.7976283870967744,2
207,1978,04,0.7483986666666664,3
208,1978,05,0.5946412903225806,4
209,1978,06,0.5476013333333334,5
210,1978,07,0.5770012903225807,6
211,1978,08,0.54624,7
212,1978,09,0.6128279999999999,8
213,1978,10,0.8061174193548388,9
214,1978,11,0.7776746666666665,10
215,1978,12,0.7634722580645161,11
216,1979,01,0.7752980645161289,0
217,1979,02,0.8358871428571428,1
218,1979,03,0.798807741935484,2
219,1979,04,0.6834600000000001,3
220,1979,05,0.5644554838709677,4
221,1979,06,0.5891666666666667,5
222,1979,07,0.48822967741935486,6
223,1979,08,0.6583135483870965,7
224,1979,09,0.5942973333333333,8
225,1979,10,0.759294193548387,9
226,1979,11,0.7146080000000001,10
227,1979,12,0.7402064516129032,11
228,1980,01,0.7656490322580645,0
229,1980,02,0.7469613793103449,1
230,1980,03,0.8313200000000001,2
231,1980,04,0.7158880000000001,3
232,1980,05,0.6177677419354838,4
233,1980,06,0.5220666666666665,5
234,1980,07,0.5772219354838708,6
235,1980,08,0.6107677419354839,7
236,1980,09,0.532828,8
237,1980,10,0.762898064516129,9
238,1980,11,0.7563280000000001,10
239,1980,12,0.7687600000000001,11
240,1981,01,0.7680025806451614,0
241,1981,02,0.8365857142857143,1
242,1981,03,0.7989006451612903,2
243,1981,04,0.6931053333333332,3
244,1981,05,0.6782787096774197,4
245,1981,06,0.49444266666666653,5
246,1981,07,0.49458580645161293,6
